Polish,English
nie,NO
to,this
się,myself
w,In
i,and
że,That
z,With
co,What
jest,Is
do,down
tak,Yes
o,about
jak,How
ale,But
a,and
mnie,me
mi,to me
za,behind
ja,I
tym,this
tego,this
go,him
ci,these
po,after
tylko,Just
tu,here
może,Maybe
jestem,I am
ma,has
ty,you
cię,you
mam,I have
jesteś,You are
już,Already
jeśli,If
dla,For
wiem,I know
coś,something
dobrze,All right
więc,So
teraz,Now
pan,Mr
wszystko,All
być,to be
będzie,will be
nic,nothing
tam,over there
mogę,I can
proszę,Please
jej,her
są,are
gdzie,Where
kiedy,When
on,he
ciebie,you
by,that
sobie,herself
wiesz,You know
bardzo,Very
było,was
przez,By
jego,his
ją,I
chcę,I want
dlaczego,Why
pani,you
jeszcze,still
mój,my
nas,us
żeby,To
no,yeah
chcesz,You want
ich,their
też,Too
tutaj,here
naprawdę,Really
mamy,We have
kto,Who
dobra,All right
przepraszam,Sorry
mu,him
gdy,When
muszę,I have to
porządku,order
dziękuję,Thank you
nawet,even
chyba,I guess
domu,house
ona,She
prawda,True
zrobić,to do
była,was
właśnie,Exactly
będę,I will
zawsze,Always
hej,Hi
nam,U.S
te,these
moja,My
musisz,you have to
je,them
bez,without
tej,this
trochę,A bit
ktoś,someone
panie,ladies
moje,my
powiedzieć,to say
czas,time
więcej,more
twój,your
musimy,we must
lat,years
ta,this
chce,I want
możemy,We can
wszyscy,all
tobą,you
albo,or
prostu,just
chodzi,goes
razem,Together
stało,stood
cześć,Hi
mną,me
czego,what
sam,alone
myślę,I think
pana,Mr
przed,Before
boże,God
raz,once
czemu,Why
będziesz,you will
niż,than
ludzie,People
dalej,next
czym,what
was,mustache
dobry,Good
przy,by
ludzi,people
dzień,Day
życie,life
lepiej,Better
rzeczy,things
twoja,your
czasu,time
ok,Approx
temu,ago
robisz,you do
myślisz,Do you think
kim,Who is
niech,let
które,which
oczywiście,Of course
siebie,myself
niego,him
cóż,Well
powiedział,he said
u,at
daj,give
moim,my
chodź,come
musi,has to
my,we
nikt,nobody
twoje,your
tych,these
pod,under
dlatego,Which is why
pewnie,Sure
powiedz,Say
aby,To
wtedy,then
wygląda,looks like
jeden,one
mojego,mine
im,them
dziś,today
taki,such
mieć,to have
jako,as
dwa,two
